    CID       Archiving          Name

2004674234     Defined          Advantek

2004755105     Defined          Mayer Electric Supply Co.

2027291721     Defined          MXL Operations

20285820     Defined          Christo Consulting

2046986005     Defined          Waxahachie School District

2051902503     No archiving     Not in policy DB

2052612122     No archiving     Not in policy DB

2056163174     No archiving     Not in policy DB

2056548437     Defined          ClarkWestern Building Systems, Inc.

2057888432     No archiving     Not in policy DB

2058751184     No archiving     Broadview Mortgage Corporation

2059518360     Defined          Loadcraft Industries Ltd

2068852805     Defined          Shea Customer

2069285281     Defined          IIJ WDS

2075272395     Defined          Regado Biosciences

2076488494     No archiving     Not in policy DB

2076738313     No archiving     Not in policy DB

2076791436     Defined          DArtagnan Inc.

2077255196     Defined          Xevio, Inc

2078153522     No archiving     Not in policy DB

2078327276     Defined          City Of Roseville, MN

2078831123     No archiving     Not in policy DB

2079326548     No archiving     Not in policy DB

2079341742     No archiving     Not in policy DB

2079524286     No archiving     Sumitomo Life Insurance Company

2079702220     Defined          Womens Healthcare Group

2079915065     Defined          Tech Central

2081201977     Defined          Romo & Associates, Inc.

2081281960     No archiving     PremierIT, Inc.

2081402376     No archiving     Not in policy DB

2081765448     No archiving     Not in policy DB

2082002445     Defined          Kerns Capital Management

2082003405     No archiving     Not in policy DB

2082126978     Defined          GRP Partners

2082577626     Defined          DirectAvenue

2083033382     Defined          JBS (CO)

2083326551     No archiving     Not in policy DB

2083829462     Defined          ComTech Network Solutions

2084330161     No archiving     Not in policy DB

2084784463     Defined          IIJ America Inc. (Demo: Enterprise)

2084879605     Defined          Wilson Creek Winery

2087482624     No archiving     Not in policy DB

2087657000     No archiving     Not in policy DB

2088042703     No archiving     Not in policy DB

2088061249     No archiving     Not in policy DB

2088958002     Defined          Willamette Valley Bank

2090162306     Defined          Kissick Construction

2090709954     No archiving     Not in policy DB

2090795175     No archiving     Not in policy DB

2091782201     Defined          S.G. Long

2091798093     Defined          IASTED

2091984203     No archiving     Not in policy DB

2092032469     No archiving     Not in policy DB

2092084530     No archiving     Not in policy DB

2092699365     Defined          AdCloud Media Inc

2094647510     Defined          Watson Rounds

2094979430     No archiving     Not in policy DB

2095289908     Defined          Premier Commercial Realty

2095645287     No archiving     Not in policy DB

2095808186     Defined          Schully, Roberts, Slattery & Marino

2095830766     Defined          Enkompas Technology Solutions

2095870470     No archiving     Not in policy DB

2096169499     No archiving     Not in policy DB

2096316749     Defined          Gordee Nowicki Augustini LLP

2097296040     Defined          Spacesaver Corp

2097438631     No archiving     Not in policy DB

2098499095     Defined          Wisconsin Technical College System

2098729907     No archiving     Not in policy DB

2099260215     Defined          The GB Group

2099561036     No archiving     Not in policy DB

2099957828     Defined          Brian Manahan

2100066824     No archiving     Not in policy DB

2104191845     No archiving     Not in policy DB

2107207090     No archiving     Not in policy DB

2111554266     Defined          MyMSExchange


